	Gene	Description
PPIA	PPIA	Peptidyl-prolyl cis-trans isomerase A
GABP1	GABPB1	GA-binding protein subunit beta-1
COGA1	COL16A1	Collagen alpha-1(XVI) chain
PDE4B	PDE4B	cAMP-specific 3',5'-cyclic phosphodiesterase 4B
FSTL1	FSTL1	Follistatin-related protein 1
ARFRP	ARFRP1	ADP-ribosylation factor-related protein 1
GOGB1	GOLGB1	Golgin subfamily B member 1
RBBP5	RBBP5	Retinoblastoma-binding protein 5
PDK4	PDK4	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial
PA24E	PLA2G4E	Cytosolic phospholipase A2 epsilon
TRI60	TRIM60	Tripartite motif-containing protein 60
SL9B1	SLC9B1	Sodium/hydrogen exchanger 9B1
SNUT2	USP39	U4/U6.U5 tri-snRNP-associated protein 2
PRR30	PRR30	Proline-rich protein 30
HYI	HYI	Putative hydroxypyruvate isomerase
RNH2B	RNASEH2B	Ribonuclease H2 subunit B
F104B	FAM104B	Protein FAM104B
FA72D	FAM72D	Protein FAM72D
CP087	C16orf87	UPF0547 protein C16orf87
CERS6	CERS6	Ceramide synthase 6
ZN852	ZNF852	Zinc finger protein 852
BCAP	PIK3AP1	Phosphoinositide 3-kinase adapter protein 1
MOB3C	MOB3C	MOB kinase activator 3C
BHA09	BHLHA9	Class A basic helix-loop-helix protein 9
SNX20	SNX20	Sorting nexin-20
UB2Q1	UBE2Q1	Ubiquitin-conjugating enzyme E2 Q1
AMGO2	AMIGO2	Amphoterin-induced protein 2
FABD	MCAT	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial
CA174	C1orf174	UPF0688 protein C1orf174
AGRG4	ADGRG4	Adhesion G-protein coupled receptor G4
DJC22	DNAJC22	DnaJ homolog subfamily C member 22
RP25L	RPP25L	Ribonuclease P protein subunit p25-like protein
OR4M2	OR4M2	Olfactory receptor 4M2
CFA61	CFAP61	Cilia- and flagella-associated protein 61
FEZF2	FEZF2	Fez family zinc finger protein 2
CU074	LINC00308	Putative uncharacterized protein encoded by LINC00308
SACA4	SPACA4	Sperm acrosome membrane-associated protein 4
CJ105	C10orf105	Uncharacterized protein C10orf105
ZCH13	ZCCHC13	Zinc finger CCHC domain-containing protein 13
FUBP2	KHSRP	Far upstream element-binding protein 2
DHX58	DHX58	Probable ATP-dependent RNA helicase DHX58
SCMH1	SCMH1	Polycomb protein SCMH1
ZN681	ZNF681	Zinc finger protein 681
INT14	INTS14	Integrator complex subunit 14
INSM2	INSM2	Insulinoma-associated protein 2
LGMN	LGMN	Legumain
CSN8	COPS8	COP9 signalosome complex subunit 8
WDR83	WDR83	WD repeat domain-containing protein 83
PLVAP	PLVAP	Plasmalemma vesicle-associated protein
BBS2	BBS2	Bardet-Biedl syndrome 2 protein
WDR11	WDR11	WD repeat-containing protein 11
YI012	PRO3102	Putative uncharacterized protein PRO3102
NOL11	NOL11	Nucleolar protein 11
TNR27	EDA2R	Tumor necrosis factor receptor superfamily member 27
SH22A	SH2D2A	SH2 domain-containing protein 2A
DPOE4	POLE4	DNA polymerase epsilon subunit 4
TULP4	TULP4	Tubby-related protein 4
CENPM	CENPM	Centromere protein M
RBM12	RBM12	RNA-binding protein 12
F86C1	FAM86C1P	Putative protein FAM86C1P
OBP2A	OBP2A	Odorant-binding protein 2a
DBF4A	DBF4	Protein DBF4 homolog A
FXL17	FBXL17	F-box/LRR-repeat protein 17
TBE	TUBE1	Tubulin epsilon chain
ADA30	ADAM30	Disintegrin and metalloproteinase domain-containing protein 30
NENF	NENF	Neudesin
FBW1A	BTRC	F-box/WD repeat-containing protein 1A
RT23	MRPS23	28S ribosomal protein S23, mitochondrial
KVD30	IGKV2D-30	Immunoglobulin kappa variable 2D-30
HV601	IGHV6-1	Immunoglobulin heavy variable 6-1
A0A0B4J2E5	LOC102724159	Periodic tryptophan protein 2 homolog
A0A0J9YWD0	IGHD3-3	Immunoglobulin heavy diversity 3-3 (Fragment)
CQ102	TMEM132E-DT	Uncharacterized protein TMEM132E-DT
AKD1B	ANKDD1B	Ankyrin repeat and death domain-containing protein 1B
CQ112	LINC02876	Uncharacterized protein encoded by LINC02876
SMLR1	SMLR1	Small leucine-rich protein 1
CTRO	CIT	Citron Rho-interacting kinase
SURF4	SURF4	Surfeit locus protein 4
ZN862	ZNF862	Zinc finger protein 862
LRP6	LRP6	Low-density lipoprotein receptor-related protein 6
CHK2	CHEK2	Serine/threonine-protein kinase Chk2
HS90B	HSP90AB1	Heat shock protein HSP 90-beta
FCG3A	FCGR3A	Low affinity immunoglobulin gamma Fc region receptor III-A
CFC1B	CFC1B	Cryptic family protein 1B
SRGN	SRGN	Serglycin
MYB	MYB	Transcriptional activator Myb
MRC1	MRC1	Macrophage mannose receptor 1
MYP0	MPZ	Myelin protein P0
RBTN2	LMO2	Rhombotin-2
MOES	MSN	Moesin
KRA59	KRTAP5-9	Keratin-associated protein 5-9
CAH5A	CA5A	Carbonic anhydrase 5A, mitochondrial
RL22	RPL22	60S ribosomal protein L22
TALDO	TALDO1	Transaldolase
NR4A2	NR4A2	Nuclear receptor subfamily 4 group A member 2
ENTP1	ENTPD1	Ectonucleoside triphosphate diphosphohydrolase 1
CXA9	GJA9	Gap junction alpha-9 protein
RS7	RPS7	40S ribosomal protein S7
VP113	HERVK_113	Endogenous retrovirus group K member 113 Pro protein
FLI1	FLI1	Friend leukemia integration 1 transcription factor
TISB	ZFP36L1	mRNA decay activator protein ZFP36L1
RIG	RIG	Putative protein RIG
LRP8	LRP8	Low-density lipoprotein receptor-related protein 8
SEPT6	SEPTIN6	Septin-6
KI3S1	KIR3DS1	Killer cell immunoglobulin-like receptor 3DS1
OASL	OASL	2'-5'-oligoadenylate synthase-like protein
UAP1	UAP1	UDP-N-acetylhexosamine pyrophosphorylase
ISK9	SPINK9	Serine protease inhibitor Kazal-type 9
WDR44	WDR44	WD repeat-containing protein 44
PPR29	ELFN2	Protein phosphatase 1 regulatory subunit 29
CE85L	CEP85L	Centrosomal protein of 85 kDa-like
CDPF1	CDPF1	Cysteine-rich DPF motif domain-containing protein 1
CEP85	CEP85	Centrosomal protein of 85 kDa
FIGL1	FIGNL1	Fidgetin-like protein 1
LIAT1	LIAT1	Protein LIAT1
S31E1	SPATA31E1	Spermatogenesis-associated protein 31E1
NCKX5	SLC24A5	Sodium/potassium/calcium exchanger 5
ZN767	ZNF767P	Protein ZNF767
S35D2	SLC35D2	UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter
MUC19	MUC19	Mucin-19
ATL2	ADAMTSL2	ADAMTS-like protein 2
CDR2L	CDR2L	Cerebellar degeneration-related protein 2-like
TARG1	TRARG1	Trafficking regulator of GLUT4 1
AGRF2	ADGRF2	Adhesion G-protein coupled receptor F2
TBC3A	TBC1D3	TBC1 domain family member 3
EID3	EID3	EP300-interacting inhibitor of differentiation 3
MESH1	HDDC3	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1
LEMD2	LEMD2	LEM domain-containing protein 2
RN169	RNF169	E3 ubiquitin-protein ligase RNF169
C2C4A	C2CD4A	C2 calcium-dependent domain-containing protein 4A
NUP37	NUP37	Nucleoporin Nup37
OR1K1	OR1K1	Olfactory receptor 1K1
DJB14	DNAJB14	DnaJ homolog subfamily B member 14
ZN473	ZNF473	Zinc finger protein 473
SIA8D	ST8SIA4	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase
TMM54	TMEM54	Transmembrane protein 54
UPP	UPRT	Uracil phosphoribosyltransferase homolog
TIFA	TIFA	TRAF-interacting protein with FHA domain-containing protein A
MBD6	MBD6	Methyl-CpG-binding domain protein 6
NPY6R	NPY6R	Putative neuropeptide Y receptor type 6
FMO2	FMO2	Dimethylaniline monooxygenase [N-oxide-forming] 2
SEM3C	SEMA3C	Semaphorin-3C
EBPL	EBPL	Emopamil-binding protein-like
DB126	DEFB126	Beta-defensin 126
RHBT2	RHOBTB2	Rho-related BTB domain-containing protein 2
PC11Y	PCDH11Y	Protocadherin-11 Y-linked
DB129	DEFB129	Beta-defensin 129
CDCP1	CDCP1	CUB domain-containing protein 1
PIDD1	PIDD1	p53-induced death domain-containing protein 1
AS3MT	AS3MT	Arsenite methyltransferase
NCK5L	NCKAP5L	Nck-associated protein 5-like
KISHB	TMEM167B	Protein kish-B
MBIP1	MBIP	MAP3K12-binding inhibitory protein 1
UBIP1	UBP1	Upstream-binding protein 1
ANFY1	ANKFY1	Rabankyrin-5
KS6B2	RPS6KB2	Ribosomal protein S6 kinase beta-2
STK39	STK39	STE20/SPS1-related proline-alanine-rich protein kinase
KLK12	KLK12	Kallikrein-12
DSE	DSE	Dermatan-sulfate epimerase
RAB21	RAB21	Ras-related protein Rab-21
SH2B3	SH2B3	SH2B adapter protein 3
EXOG	EXOG	Nuclease EXOG, mitochondrial
KLDC2	KLHDC2	Kelch domain-containing protein 2
AR2BP	ARL2BP	ADP-ribosylation factor-like protein 2-binding protein
NAGA	AMDHD2	N-acetylglucosamine-6-phosphate deacetylase
CHMP3	CHMP3	Charged multivesicular body protein 3
KLF2	KLF2	Krueppel-like factor 2
ACL7B	ACTL7B	Actin-like protein 7B
A0A1B0GVM2	TCAF2C	TRPM8 channel-associated factor 2C (Fragment)
A0A1W2PN81	CHRNA7	Neuronal acetylcholine receptor subunit alpha-7
A0A3B3IT45	OR51C1P	Olfactory receptor
A0A6Q8PHR7		Uncharacterized protein
S35F4	SLC35F4	Solute carrier family 35 member F4
SNTAN	SNTN	Sentan
YU005		Putative uncharacterized protein ENSP00000383407
YM017		Putative UPF0607 protein ENSP00000383144
YQ018		Uncharacterized protein ENSP00000382033
DVL2	DVL2	Segment polarity protein dishevelled homolog DVL-2
CP26A	CYP26A1	Cytochrome P450 26A1
SSX5	SSX5	Protein SSX5
SF3B1	SF3B1	Splicing factor 3B subunit 1
UBP1	USP1	Ubiquitin carboxyl-terminal hydrolase 1
RPP14	RPP14	Ribonuclease P protein subunit p14
VENTX	VENTX	Homeobox protein VENTX
PNPH	PNP	Purine nucleoside phosphorylase
IFIT2	IFIT2	Interferon-induced protein with tetratricopeptide repeats 2
F90AJ	FAM90A15P	Putative protein FAM90A15P
HMN8	MTRNR2L8	Humanin-like 8
HV43D	IGHV3-43D	Immunoglobulin heavy variable 3-43D
IFM1	IFITM1	Interferon-induced transmembrane protein 1
CCNE1	CCNE1	G1/S-specific cyclin-E1
RFA1	RPA1	Replication protein A 70 kDa DNA-binding subunit
V2R	AVPR2	Vasopressin V2 receptor
MT4	MT4	Metallothionein-4
TSP3	THBS3	Thrombospondin-3
CCR4	CCR4	C-C chemokine receptor type 4
CLCN2	CLCN2	Chloride channel protein 2
COPZ1	COPZ1	Coatomer subunit zeta-1
RAB1A	RAB1A	Ras-related protein Rab-1A
BTG2	BTG2	Protein BTG2
GABT	ABAT	4-aminobutyrate aminotransferase, mitochondrial
ID2	ID2	DNA-binding protein inhibitor ID-2
YL016		Putative uncharacterized protein LOC100128554
GAG2B	GAGE2C	G antigen 2B/2C
BECN1	BECN1	Beclin-1
LRC41	LRRC41	Leucine-rich repeat-containing protein 41
SC23A	SEC23A	Protein transport protein Sec23A
TESK1	TESK1	Dual specificity testis-specific protein kinase 1
SYUB	SNCB	Beta-synuclein
PDCD2	PDCD2	Programmed cell death protein 2
TBC25	TBC1D25	TBC1 domain family member 25
LONF3	LONRF3	LON peptidase N-terminal domain and RING finger protein 3
TPT1L		TPT1-like protein
U633C		Putative UPF0633 protein LOC554249
KCD11	KCTD11	BTB/POZ domain-containing protein KCTD11
SAPL1	PSAPL1	Proactivator polypeptide-like 1
R216L	RNF216P1	Putative protein RNF216-like
SWAP1	SWSAP1	ATPase SWSAP1
PRS57	PRSS57	Serine protease 57
TRC2L		Putative short transient receptor potential channel 2-like protein
YO026		Putative uncharacterized protein FLJ46792
YQ015		Putative uncharacterized protein FLJ43944
YL004		Putative uncharacterized protein FLJ45999
CLNK	CLNK	Cytokine-dependent hematopoietic cell linker
CK096	C11orf96	Uncharacterized protein C11orf96
DRC11	IQCA1	Dynein regulatory complex protein 11
CTL2	SLC44A2	Choline transporter-like protein 2
EXOC8	EXOC8	Exocyst complex component 8
CADM2	CADM2	Cell adhesion molecule 2
YS014		Putative uncharacterized protein LOC400692
YV020		Putative uncharacterized protein LOC388882
FBCD1	FIBCD1	Fibrinogen C domain-containing protein 1
YH007		Uncharacterized protein FLJ40521
YE027		Putative uncharacterized protein FLJ35723
LR75A	LRRC75A	Leucine-rich repeat-containing protein 75A
YG006		Putative uncharacterized protein FLJ33307
PAIRB	SERBP1	Plasminogen activator inhibitor 1 RNA-binding protein
MDS2	MDS2	Myelodysplastic syndrome 2 translocation-associated protein
OR9Q2	OR9Q2	Olfactory receptor 9Q2
OR8D4	OR8D4	Olfactory receptor 8D4
OR5M3	OR5M3	Olfactory receptor 5M3
FGFP3	FGFBP3	Fibroblast growth factor-binding protein 3
PPL13	LGALS14	Placental protein 13-like
CHD5	CHD5	Chromodomain-helicase-DNA-binding protein 5
DYH7	DNAH7	Dynein axonemal heavy chain 7
EXOS8	EXOSC8	Exosome complex component RRP43
YP010		Putative uncharacterized protein FLJ32790
F218A	FAM218A	Protein FAM218A
YI001		Uncharacterized protein FLJ30774
NLRP3	NLRP3	NACHT, LRR and PYD domains-containing protein 3
TSSK2	TSSK2	Testis-specific serine/threonine-protein kinase 2
CDX2	CDX2	Homeobox protein CDX-2
RSLBB	RASL11B	Ras-like protein family member 11B
RIOK1	RIOK1	Serine/threonine-protein kinase RIO1
EFC4B	CRACR2A	EF-hand calcium-binding domain-containing protein 4B
CFA74	CFAP74	Cilia- and flagella-associated protein 74
MMP28	MMP28	Matrix metalloproteinase-28
CT191	NCOR1P1	Putative nuclear receptor corepressor 1-like protein NCOR1P1
Z286A	ZNF286A	Zinc finger protein 286A
ZN160	ZNF160	Zinc finger protein 160
CABP2	CABP2	Calcium-binding protein 2
ZKSC7	ZKSCAN7	Zinc finger protein with KRAB and SCAN domains 7
SHPK	SHPK	Sedoheptulokinase
AT1B4	ATP1B4	Protein ATP1B4
PA24C	PLA2G4C	Cytosolic phospholipase A2 gamma
PP6R1	PPP6R1	Serine/threonine-protein phosphatase 6 regulatory subunit 1
CHKB	CHKB	Choline/ethanolamine kinase
KLF13	KLF13	Krueppel-like factor 13
A0A075B6V2	TRAJ21	T cell receptor alpha joining 21 (Fragment)
A0A075B6W3	TRAJ33	T cell receptor alpha joining 33 (Fragment)
TVA41	TRAV41	T cell receptor alpha variable 41
TVB62	TRBV6-2	T cell receptor beta variable 6-2
SIM39	SMIM39	Small integral membrane protein 39
A0A2R8Y2Y2		Uncharacterized protein
F181B	FAM181B	Protein FAM181B
TIKI2	TRABD2B	Metalloprotease TIKI2
ISLR	ISLR	Immunoglobulin superfamily containing leucine-rich repeat protein
QCR10	UQCR11	Cytochrome b-c1 complex subunit 10
NPC1	NPC1	NPC intracellular cholesterol transporter 1
ARHG9	ARHGEF9	Rho guanine nucleotide exchange factor 9
ZN749	ZNF749	Zinc finger protein 749
MBTP2	MBTPS2	Membrane-bound transcription factor site-2 protease
B4GA1	B4GAT1	Beta-1,4-glucuronyltransferase 1
TIM44	TIMM44	Mitochondrial import inner membrane translocase subunit TIM44
FLNB	FLNB	Filamin-B
UBE4B	UBE4B	Ubiquitin conjugation factor E4 B
CXCL7	PPBP	Platelet basic protein
S10A9	S100A9	Protein S100-A9
VIME	VIM	Vimentin
JMJD7	JMJD7	Bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7
HNRC4	HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C-like 4
CALM1	CALM1	Calmodulin-1
GLUT4	SLC2A4	Solute carrier family 2, facilitated glucose transporter member 4
AT2A2	ATP2A2	Sarcoplasmic/endoplasmic reticulum calcium ATPase 2
CXA1	GJA1	Gap junction alpha-1 protein
GPX2	GPX2	Glutathione peroxidase 2
VCAM1	VCAM1	Vascular cell adhesion protein 1
PROF2	PFN2	Profilin-2
TNNT2	TNNT2	Troponin T, cardiac muscle
GLIP1	GLIPR1	Glioma pathogenesis-related protein 1
PRI1	PRIM1	DNA primase small subunit
APLP1	APLP1	Amyloid-like protein 1
NR0B1	NR0B1	Nuclear receptor subfamily 0 group B member 1
BRPF1	BRPF1	Peregrin
PSA	NPEPPS	Puromycin-sensitive aminopeptidase
HNRH2	HNRNPH2	Heterogeneous nuclear ribonucleoprotein H2
BACE1	BACE1	Beta-secretase 1
CU058	C21orf58	Uncharacterized protein C21orf58
STAR6	STARD6	StAR-related lipid transfer protein 6
T2R46	TAS2R46	Taste receptor type 2 member 46
SC61B	SEC61B	Protein transport protein Sec61 subunit beta
RS8	RPS8	40S ribosomal protein S8
ODO1	OGDH	2-oxoglutarate dehydrogenase, mitochondrial
TNR9	TNFRSF9	Tumor necrosis factor receptor superfamily member 9
CLN3	CLN3	Battenin
ANR55	ANKRD55	Ankyrin repeat domain-containing protein 55
KRA62	KRTAP6-2	Keratin-associated protein 6-2
NAKD2	NADK2	NAD kinase 2, mitochondrial
K1755	KIAA1755	Uncharacterized protein KIAA1755
CFA58	CFAP58	Cilia- and flagella-associated protein 58
INT11	INTS11	Integrator complex subunit 11
TSH3	TSHZ3	Teashirt homolog 3
NAIF1	NAIF1	Nuclear apoptosis-inducing factor 1
K1C39	KRT39	Keratin, type I cytoskeletal 39
SUMO4	SUMO4	Small ubiquitin-related modifier 4
ZCHC8	ZCCHC8	Zinc finger CCHC domain-containing protein 8
KLD10	KLHDC10	Kelch domain-containing protein 10
YI004	UNQ6494/PRO21346	Putative uncharacterized protein UNQ6494/PRO21346
RBPS2	RBPMS2	RNA-binding protein with multiple splicing 2
FKB9L	FKBP9P1	Putative FK506-binding protein 9-like protein
STRA8	STRA8	Stimulated by retinoic acid gene 8 protein homolog
RSPH3	RSPH3	Radial spoke head protein 3 homolog
AHI1	AHI1	Jouberin
H2B3B	H2BU1	Histone H2B type 3-B
GLIS1	GLIS1	Zinc finger protein GLIS1
ZN502	ZNF502	Zinc finger protein 502
ITFG2	ITFG2	KICSTOR complex protein ITFG2
ZN622	ZNF622	Zinc finger protein 622
ZC21A	ZC2HC1A	Zinc finger C2HC domain-containing protein 1A
CH076	C8orf76	Uncharacterized protein C8orf76
ZN512	ZNF512	Zinc finger protein 512
TLCD4	TLCD4	TLC domain-containing protein 4
RHG07	DLC1	Rho GTPase-activating protein 7
NPAS1	NPAS1	Neuronal PAS domain-containing protein 1
FYCO1	FYCO1	FYVE and coiled-coil domain-containing protein 1
TCAL7	TCEAL7	Transcription elongation factor A protein-like 7
NPL	NPL	N-acetylneuraminate lyase
C1QT7	C1QTNF7	Complement C1q tumor necrosis factor-related protein 7
SRRT	SRRT	Serrate RNA effector molecule homolog
ACE2	ACE2	Angiotensin-converting enzyme 2
PA2GF	PLA2G2F	Group IIF secretory phospholipase A2
OPN3	OPN3	Opsin-3
HIPK2	HIPK2	Homeodomain-interacting protein kinase 2
ZN106	ZNF106	Zinc finger protein 106
MOB1A	MOB1A	MOB kinase activator 1A
F204A	FAM204A	Protein FAM204A
KCNQ5	KCNQ5	Potassium voltage-gated channel subfamily KQT member 5
TM45A	TMEM45A	Transmembrane protein 45A
GEMI8	GEMIN8	Gem-associated protein 8
TMOD2	TMOD2	Tropomodulin-2
MYEF2	MYEF2	Myelin expression factor 2
ZN282	ZNF282	Zinc finger protein 282
YE014	PRO0255	Putative uncharacterized protein PRO0255
PADI4	PADI4	Protein-arginine deiminase type-4
TPRKB	TPRKB	EKC/KEOPS complex subunit TPRKB
3BP1	SH3BP1	SH3 domain-binding protein 1
CEP83	CEP83	Centrosomal protein of 83 kDa
PCDG8	PCDHGA8	Protocadherin gamma-A8
KVD11	IGKV3D-11	Immunoglobulin kappa variable 3D-11
A0A0A0MT69	IGKJ4	Immunoglobulin kappa joining 4 (Fragment)
TVB61	TRBV6-1	T cell receptor beta variable 6-1
LRIQ4	LRRIQ4	Leucine-rich repeat and IQ domain-containing protein 4
TM212	TMEM212	Transmembrane protein 212
SM34A	SMIM34A	Small integral membrane protein 34A
MAGB2	MAGEB2	Melanoma-associated antigen B2
ZN500	ZNF500	Zinc finger protein 500
CC14B	CDC14B	Dual specificity protein phosphatase CDC14B
F262	PFKFB2	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2
PQBP1	PQBP1	Polyglutamine-binding protein 1
IGSF3	IGSF3	Immunoglobulin superfamily member 3
SPAG7	SPAG7	Sperm-associated antigen 7
RMXL2	RBMXL2	RNA-binding motif protein, X-linked-like-2
MMP23	MMP23B	Matrix metalloproteinase-23
PTHY	PTH	Parathyroid hormone
ACM4	CHRM4	Muscarinic acetylcholine receptor M4
PO2F2	POU2F2	POU domain, class 2, transcription factor 2
CO4A	C4A	Complement C4-A
F91A2	LINC00869	Putative uncharacterized protein encoded by LINC00869
EBLN1	EBLN1	Endogenous Bornavirus-like nucleoprotein 1
TAU	MAPT	Microtubule-associated protein tau
TPR	TPR	Nucleoprotein TPR
ASM	SMPD1	Sphingomyelin phosphodiesterase
SPR2D	SPRR2D	Small proline-rich protein 2D
SFPQ	SFPQ	Splicing factor, proline- and glutamine-rich
MCM4	MCM4	DNA replication licensing factor MCM4
NTF4	NTF4	Neurotrophin-4
M3K8	MAP3K8	Mitogen-activated protein kinase kinase kinase 8
TEC	TEC	Tyrosine-protein kinase Tec
REG1B	REG1B	Lithostathine-1-beta
TCPE	CCT5	T-complex protein 1 subunit epsilon
CENPF	CENPF	Centromere protein F
NDUA6	NDUFA6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
VSX2	VSX2	Visual system homeobox 2
HILS1	H1-9P	Putative spermatid-specific linker histone H1-like protein
BORG5	CDC42EP1	Cdc42 effector protein 1
ID3	ID3	DNA-binding protein inhibitor ID-3
BAGE1	BAGE	B melanoma antigen 1
EIF3I	EIF3I	Eukaryotic translation initiation factor 3 subunit I
MTMR2	MTMR2	Myotubularin-related protein 2
GNA13	GNA13	Guanine nucleotide-binding protein subunit alpha-13
2A5B	PPP2R5B	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform
NTRK2	NTRK2	BDNF/NT-3 growth factors receptor
MST1L	MST1L	Putative macrophage stimulating 1-like protein
AT134	ATP13A4	Probable cation-transporting ATPase 13A4
SYTL3	SYTL3	Synaptotagmin-like protein 3
KHDR2	KHDRBS2	KH domain-containing, RNA-binding, signal transduction-associated protein 2
F205B	FAM205BP	Putative protein FAM205B
LCN8	LCN8	Epididymal-specific lipocalin-8
BRWD3	BRWD3	Bromodomain and WD repeat-containing protein 3
WDR82	WDR82	WD repeat-containing protein 82
TCF23	TCF23	Transcription factor 23
MOT9	SLC16A9	Monocarboxylate transporter 9
ATG9A	ATG9A	Autophagy-related protein 9A
GDF7	GDF7	Growth/differentiation factor 7
VS10L	VSIG10L	V-set and immunoglobulin domain-containing protein 10-like
SPAS2	SPATS2	Spermatogenesis-associated serine-rich protein 2
CPNE8	CPNE8	Copine-8
KR131	KRTAP13-1	Keratin-associated protein 13-1
CLC10	CLEC10A	C-type lectin domain family 10 member A
ZN584	ZNF584	Zinc finger protein 584
U2D2L	UBE2DNL	Putative ubiquitin-conjugating enzyme E2 D2-like protein
ASXL1	ASXL1	Polycomb group protein ASXL1
FAM9A	FAM9A	Protein FAM9A
TENS4	TNS4	Tensin-4
YA026	LINC01356	Putative uncharacterized protein encoded by LINC01356
DP13B	APPL2	DCC-interacting protein 13-beta
O10G3	OR10G3	Olfactory receptor 10G3
OR6S1	OR6S1	Olfactory receptor 6S1
ENKUR	ENKUR	Enkurin
S7A13	SLC7A13	Solute carrier family 7 member 13
PIGO	PIGO	GPI ethanolamine phosphate transferase 3
ZN480	ZNF480	Zinc finger protein 480
FCAMR	FCAMR	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor
SHIP1	INPP5D	Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1
NCLN	NCLN	Nicalin
ABC3D	APOBEC3D	DNA dC->dU-editing enzyme APOBEC-3D
DYH8	DNAH8	Dynein axonemal heavy chain 8
DNHD1	DNHD1	Dynein heavy chain domain-containing protein 1
CCD42	CCDC42	Coiled-coil domain-containing protein 42
CIC	CIC	Protein capicua homolog
CTGE2	CTAGE1	cTAGE family member 2
TM2D3	TM2D3	TM2 domain-containing protein 3
PSF3	GINS3	DNA replication complex GINS protein PSF3
SIA7E	ST6GALNAC5	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5
TGIF2	TGIF2	Homeobox protein TGIF2
ADA19	ADAM19	Disintegrin and metalloproteinase domain-containing protein 19
IL21R	IL21R	Interleukin-21 receptor
ZN334	ZNF334	Zinc finger protein 334
KLHL1	KLHL1	Kelch-like protein 1
INT9	INTS9	Integrator complex subunit 9
KBTB4	KBTBD4	Kelch repeat and BTB domain-containing protein 4
DDIT4	DDIT4	DNA damage-inducible transcript 4 protein
ELOV2	ELOVL2	Elongation of very long chain fatty acids protein 2
KBRS1	NKIRAS1	NF-kappa-B inhibitor-interacting Ras-like protein 1
YN010	PRO2829	Putative uncharacterized protein PRO2829
DACH1	DACH1	Dachshund homolog 1
CNOT7	CNOT7	CCR4-NOT transcription complex subunit 7
